"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","Sleeve","ProductType","SizeChart","SizeChartMessaging","Price","MasterPrice","SalePrice","MasterSalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","InspirationID","FOB","APS","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","dyoVersionProductID","dyoVersionInspirationID","Sizes"
"5663339C","MP_1852","Online","Drippy Converse Scoop Tee","Sharp Green",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",,25,,0,"Get the scoop. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton. Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",01/14/13,01/01/13,"13 Spring","Runout",,,,,,,"CAFF70",,"05663C",,"N",,,"S,M,L,XL"
"5663100C","MP_1852","Online","Drippy Converse Scoop Tee","Bright White",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",,25,,0,"Get the scoop. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton. Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",01/14/13,01/01/13,"13 Spring","Runout",,,,,,,"FFFFFF",0,"05663C",,"N",,,"S,M,L,XL"
"5663024C","MP_1852","Online","Drippy Scoop Tee","Charcoal",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,25,,0,,,04/01/13,"13 Summer","Runout",32,,,,,,,,,,"N",,,"S,M,L,XL"
"5663001C","MP_1852","Online","Drippy Converse Scoop Tee","Jet Black",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",,25,,0,"Get the scoop. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton. Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",01/14/13,01/01/13,"13 Spring","Runout",,,,,,,0,,"05663C",,"N",,,"S,M,L,XL"
"5662656C","MP_1853","Online","Women's Chuck Patch V Neck Tee","Beaujolais",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,25,,0,,,04/01/13,"13 Summer","Runout",30,,,,,,,,,,"N",,,"S,M,L,XL"
"5662548C","MP_1853","Online","Women's Chuck Patch V Neck Tee","Chalk Violet",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",,25,,0,"Take the plunge. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton.Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",01/13/13,01/01/13,"13 Spring","Runout",,,,,,,"D8BFD8",,"05662C",,"N",,,"S,M,L,XL"
"5662035C","MP_1853","Online","Women's Chuck Patch V Neck Tee","Vintage Grey Heather",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",,25,,0,"Take the plunge. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton.Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",01/14/13,01/01/13,"13 Spring","Runout",,,,,,,"B0B0B0",,"05662C",,"N",,,"S,M,L,XL"
"5662002C","MP_1853","Online","Women's Chuck Patch V Neck Tee","Phantom",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",,25,,0,"Take the plunge. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton.Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",01/14/13,01/01/13,"13 Spring","Runout",,,,,,,595959,,"05662C",,"N",,,"S,M,L,XL"
"5662001C","MP_1853","Online","Women's Chuck Patch V Neck Tee","Black",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,25,,0,,,04/01/13,"13 Summer","Runout",46,,,,,,,,,,"N",,,"S,M,L,XL"
"5661100C","MP_1853","Online","Women's Chuck Patch V Neck Tee","Bright White",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",,25,,0,"Take the plunge. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton.Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",01/13/13,01/01/13,"13 Spring","Runout",,,,,,,"FFFFFF",,"05662C",,"N",,,"S,M,L,XL"
