"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","ProductType","SizeChart","SizeChartMessaging","Price","SalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","FOB","APS","ProdManOnly","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","destCustomizeSKU","destCustomizeMetricID"
"05889C",,"Offline","Men's Converse Tee","Black Heather",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,25,,,,12/01/2013,"13 Holiday","Runout",35,,,,,0,,,"05889C","pending","N",,
"4996001C",,"Offline","Men's Core Full Zip Hoodie","Jet Black",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,58,,,,07/01/2013,"13 Fall","Runout",60,,,,,0,,,"04996C","pending","N",,
"4996035C",,"Offline","Men's Core Full Zip Hoodie","Vintage Grey",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,58,,,,07/01/2013,"13 Fall","Runout",40,,,,,0,,,"04996C","pending","N",,
"4996308C",,"Offline","Men's Core Full Zip Hoodie","Grapeleaf",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,58,,,,07/01/2013,"13 Fall","Runout",31,,,,,0,,,"04996C","pending","N",,
"4996642C",,"Offline","Men's Core Full Zip Hoodie","Varsity Red",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,58,,,,11/01/2013,"13 Holiday","Runout",72,,,,,0,,,"04996C","pending","N",,
"4996001C",,"Offline","Men's Core Hoodie","Jet Black",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,58,,,,07/01/2013,"13 Fall","Runout",60,,,,,0,,,"04996C","pending","N",,
"4996035C",,"Offline","Men's Core Hoodie","Vintage Grey",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,58,,,,07/01/2013,"13 Fall","Runout",40,,,,,0,,,"04996C","pending","N",,
"4996308C",,"Offline","Men's Core Hoodie","Grapeleaf",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,58,,,,07/01/2013,"13 Fall","Runout",31,,,,,0,,,"04996C","pending","N",,
"4996472C",,"Offline","Men's Core Hoodie","Midnight Lake",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,58,,,,07/01/2013,"13 Fall","Runout",43,,,,,0,,,"04996C","pending","N",,
"03093C",,"Online","Men's Cotton Bomber Jacket","Phantom",,"Cotton","Men",,"Apparel","Jackets",,"regular","Standard Size Chart",,138,0,,41312,41306,"13 Spring","Runout",,,,,,0,,,"03093C",,"N",,
"05316C",,"Offline","Men's Crew Tee","Jet Black",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,08/01/2013,"13 Fall","Runout",33,,,,,0,,,"05316C","pending","N",,
"05319C",,"Offline","Men's Crew Tee","Vintage Grey",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,07/01/2013,"13 Fall","Runout",33,,,,,0,,,"05319C","pending","N",,
"05870C",,"Offline","Men's Dept Of Metal Hoodie","Varsity Red",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,25,,,,12/01/2013,"13 Holiday","Runout",35,,,,,0,,,"05870C","pending","N",,
1634002,,"Online","Men's Doodle Player Tee","Phantom",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart",,34,23.99,,41142,41114,"12 Fall","Runout",,,,,,0,,,,,"N",,
"02531C",,"Offline","Men's Double Pocket Leather Jacket ","Black Double",,"Lambskin Leather","Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,298,,,,11/01/2013,"13 Holiday","Runout",0,,,,,0,,,"02531C","pending","N",,
"5649035C","MP_1855","Online","Men's Drippy License Plate Tee","Vintage Grey Heather",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart","Runs true to size",25,0,"From the feet up.


The iconic Chuck Taylor All Star license plate makes its way from the sneaker to the shirt. 100% cotton tee. Made in Mexico. Machine wash cold.",41291,,"13 Spring","Runout",,,,,,0,"C4C4C4",0,"05649C",,"N",,
"5649100C","MP_1855","Online","Men's Drippy License Plate Tee","Bright White",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart","Runs true to size",25,0,"From the feet up.


The iconic Chuck Taylor All Star license plate makes its way from the sneaker to the shirt. 100% cotton tee. Made in Mexico. Machine wash cold.",41291,,"13 Spring","Runout",,,,,,0,"FFFFFF",,"05649C",,"N",,
"07012C",,"Offline","Men's Drippy Record Hoodie","Parchment",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,25,,,,12/01/2013,"13 Holiday","Runout",30,,,,,0,,,"07012C","pending","N",,
"04828C",,"Online","Men's End Sameness Tee","White",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart",,34,24.99,,,,"13 Spring","Runout",,,,,,0,,,,"pending","N",,
"5661811C",,"Online","Men's Feed Me Beats Tee","Burnt Ochre",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,0,,41306,41306,"13 Spring","Runout",,,,,,0,,,"05661C",,"N",,
"05081C",,"Online","Men's Flag Crew Tee","Grey Heather",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,,"13 Summer","Runout",,,,,,0,,,,"pending","N",,
"5657002C",,"Online","Men's Flag Tee","Phantom",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,0,,41361,41334,"13 Spring","Runout",,,,,,0,,,"05657C",,"N",,
"4626030C",,"Offline","Men's Fleece Camo Full Zip Hoodie","Charcoal",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,74,,,,08/01/2013,"13 Fall","Runout",23,,,,,0,,,"04626C","pending","N",,
"4626261C",,"Offline","Men's Fleece Camo Full Zip Hoodie","Lead Grey",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,74,,,,08/01/2013,"13 Fall","Runout",17,,,,,0,,,"04626C","pending","N",,
"04759C",,"Offline","Men's Fleece Varsity Jacket","Vintage Grey",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,68,,,,09/01/2013,"13 Fall","Runout",16,,,,,0,,,"04759C","pending","N",,
