"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","Sleeve","ProductType","SizeChart","SizeChartMessaging","Price","SalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","InspirationID","FOB","APS","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","dyoVersionProductID","dyoVersionInspirationID"
"139673C",,"Offline","Cons Trapasso Pro II","Grey","Low","Suede","Unisex","CONS","Sneakers","CONS","Trapasso Pro II",,"regular","Standard Size Chart","Runs true to size",65.00,,,,11/1/2013,"13 Holiday","Runout",222,,,,,,,,,"pending","N",,
"139649C",,"Offline","Chuck Taylor Woodsy Boot","Charcoal","Hi","Leather","Unisex","All Star","Sneakers","Chuck Taylor - Iterations","Men's Boots",,"regular","Chuck Size Chart","Runs a half-size large",75.00,,,,11/1/2013,"13 Holiday","Runout",517,,,,,,,,,"pending","N",,
"139648C",,"Offline","Chuck Taylor Woodsy Boot","Black","Hi","Leather","Unisex","All Star","Sneakers","Chuck Taylor - Iterations","Men's Boots",,"regular","Chuck Size Chart","Runs a half-size large",75.00,,,,11/1/2013,"13 Holiday","Runout",652,,,,,,,,,"pending","N",,
"138613C",,"Online","DYO Chuck Taylor Arkham City","Your Choice","Hi","Canvas","Unisex","CREATE","Sneakers","Converse Create Chuck Taylor?",,,"dyo","Chuck Size Chart","Runs a half-size large",75.00,,,,,,"Runout",,"chuTayHiCan1210_batman",28559,,,,,,,"pending","N",,
"138487C","MP_1875","Online","Chuck Taylor All Star Premium","Black","Low","Cotton","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Premium Post",,"regular","Chuck Size Chart","Runs a half-size large",125.00,0.00,,02/05/13,01/01/13,"13 Spring","Runout",74,,,,,,0,,,,"N",,
"138391C",,"Offline","Chuck Taylor All Star Floral",,,,"Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","CHina SMU",,"regular","Chuck Size Chart","Runs a half-size large",80.00,0.00,,,05/01/13,"13 Summer","Runout",114,,,,,,,,,"pending","N",,
"138390C",,"Offline","Chuck Taylor All Star Floral",,,,"Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","CHina SMU",,"regular","Chuck Size Chart","Runs a half-size large",80.00,0.00,,,05/01/13,"13 Summer","Runout",114,,,,,,,,,"pending","N",,
"137838F","MP_154","Offline","Chuck Taylor All Star","Pink Glo","Low","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Seasonals",,"regular","Chuck Size Chart","Runs a half-size large",50.00,0.00,,,06/01/13,"13 Fall","Runout",709,,,,,,,,,"pending","N",,
"137837F","MP_154","Online","Chuck Taylor All Star","Electric Purple","Low","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Seasonals",,"regular","Chuck Size Chart","Runs a half-size large",50.00,0.00,,,03/01/13,"13 Spring","Runout",770,,,,,,,,,,"N",,
"137834F","MP_148","Offline","Chuck Taylor All Star","Pink Glo","Hi","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Seasonals",,"regular","Chuck Size Chart","Runs a half-size large",55.00,0.00,,,06/01/13,"13 Fall","Runout",591,,,,,,,,,"pending","N",,
"137833F","MP_148","Online","Chuck Taylor All Star","Electric Purple","Hi","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Seasonals",,"regular","Chuck Size Chart","Runs a half-size large",55.00,0.00,,,03/01/13,"13 Spring","Runout",850,,,,,,,,,,"N",,
"137570C",,"Online","Design Your Own Chuck Taylor All Star","Your Choice","Low","Canvas","Unisex","CREATE","Sneakers","Converse Create Chuck Taylor?",,,"dyo","Chuck Size Chart","Runs a half-size large",59.00,0.00,,,,,"Runout",,"chuTayOxCanCTCT1205_LS",,,,,,,,,"N",,
"137447C","MP_1908","Online","Chuck Taylor All Star Double Zip","Phaeton Gray/Turtledove","Hi","Leather","Unisex","All Star","Sneakers","Varvatos","Burnished Leather",,"regular","Chuck Size Chart","Runs a half-size large",170.00,0.00,,03/28/13,01/01/13,"13 Spring","Runout",98,,,,,,"8B7D6B",,,,"N",,
"137430C","MP_1908","Online","Chuck Taylor All Star Double Zip","Beam/Turtledove","Hi","Leather","Unisex","All Star","Sneakers","Varvatos","Burnished Leather",,"regular","Chuck Size Chart","Runs a half-size large",170.00,0.00,,03/28/13,01/01/13,"13 Spring","Runout",197,,,,,,"FFFFFF",0,,,"N",,
"137399C","MP_1914","Online","Converse by John Varvatos Star Player","Coriander","Low","Canvas","Unisex","CONS","Sneakers","Sport Authentics","Varvatos",,"regular","Standard Size Chart","Runs true to size",140.00,0.00,,03/28/13,03/01/13,"13 Spring","Runout",68,,,,,,"6E8B3D",,,,"N",,
"137398C","MP_1913","Online","Converse by John Varvatos Star Player","Castlerock","Mid","Canvas","Unisex","CONS","Sneakers","Sport Authentics","Varvatos",,"regular","Standard Size Chart","Runs true to size",140.00,0.00,,03/29/13,03/01/13,"13 Spring","Runout",79,,,,,,"9FB6CD",,,,"N",,
"136947C",,"Online","Auckland Racer","Limestone","Low","Suede","Unisex","CONS","Sneakers","CONS","Auckland Racer",,"regular","Standard Size Chart","Runs true to size",65.00,,,,,"13 Spring","Runout",,,,,,,,,,"pending","N",,
"136889C",,"Online","Chuck Taylor Washed Canvas","Off White","Hi","Canvas","Unisex","All Star","Sneakers","Chuck Taylor - Iterations","Washed",,"regular","Chuck Size Chart","Runs a half-size large",70.00,"#VALUE!",,,10/1/2013,"13 Holiday","Runout",468,,,,,,,,,"pending","N",,
"136886C","MP_1850","Online","Chuck Taylor All Star Washed","Pink","Low","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Washed",,"regular","Chuck Size Chart","Runs a half-size large",100.00,69.97,,03/08/13,01/01/13,"13 Spring","Runout",172,,,,,,"FF82AB",,,,"N",,
"136858F","MP_2073","Online","Chuck Taylor All Star","White/Deep Ultramarine","Low","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Basic Star Print",,"regular","Chuck Size Chart","Runs a half-size large",55.00,0.00,,,03/01/13,"13 Spring","Runout",308,,,,,,,,,,"N",,
"136854F",,"Online","Chuck Taylor All Star  ","Olive Drab","Slip","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Seasonals",,"regular","Chuck Size Chart","Runs a half-size large",55.00,0.00,,,04/01/13,"13 Summer","Runout",271,,,,,,,,,,"N",,
"136853F",,"Online","Chuck Taylor All Star  ","Carmine Rose","Slip","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Seasonals",,"regular","Chuck Size Chart","Runs a half-size large",55.00,0.00,,,04/01/13,"13 Summer","Runout",185,,,,,,,,,,"N",,
"136852F",,"Online","Chuck Taylor All Star  ","Beach Glass","Slip","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Seasonals",,"regular","Chuck Size Chart","Runs a half-size large",55.00,0.00,,,04/01/13,"13 Summer","Runout",295,,,,,,,,,,"N",,
"136850C","MP_2074","Online","Chuck Taylor All Star","Jester Red","Low","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Stonewashed",,"regular","Chuck Size Chart","Runs a half-size large",55.00,0.00,,,04/01/13,"13 Summer","Runout",467,,,,,,,,,,"N",,
